profile,Min,Mean,Max,sedim_thick,plate_sunda,plate_phil,slope_aspect,geol_c,geol_p,geol_vb,geol_a,geol_smi,geol_pb,geol_m,tan_angle,slope_angle
1,-5550.0,-2716.1,650.0,1034,446,153,35,42,0,29,0,0,0,0,0.500108,26.57
2,-5450.0,-2565.0,600.0,2906,410,148,107,0,0,46,0,0,0,0,0.533278,28.07
3,5500.0,-2103.6,1450.0,2831,452,72,154,0,0,0,0,7,0,73,0.896619,41.88
4,-5900.0,-2443.5,1150.0,653,379,119,59,0,0,36,0,18,0,67,0.863786,40.82
5,-7150.0,-2994.5,650.0,592,108,505,213,0,0,33,0,7,0,1,0.636334,32.47
6,-6550.0,-3161.2,650.0,915,144,527,26,0,0,25,0,0,0,18,0.954620,43.67
7,-7250.0,-3343.6,200.0,857,125,509,14,0,22,12,0,16,0,0,1.036616,46.03
8,-7000.0,-3583.4,700.0,479,351,207,229,0,0,13,0,95,0,0,0.839992,40.03
9,-7350.0,-3048.9,1000.0,620,243,217,210,21,0,76,0,54,0,0,0.959971,43.83
10,-7850.0,-3566.2,900.0,565,161,235,193,40,0,11,0,50,0,0,0.989237,44.69
11,-8350.0,-3120.5,1300.0,496,313,245,156,12,0,68,0,54,0,0,0.666665,33.69
12,-9700.0,-3954.9,750.0,537,287,321,176,11,0,36,0,60,17,0,0.954620,43.67
13,-9600.0,-3417.5,900.0,666,107,603,229,0,0,43,27,22,0,0,0.968729,44.09
14,-9400.0,-3493.6,1100.0,560,86,580,228,22,0,72,0,106,0,0,1.183759,49.81
15,-7400.0,-1998.6,1800.0,402,63,565,104,71,0,141,21,97,0,0,0.500108,26.57
16,-7950.0,-2582.7,1450.0,572,368,312,291,43,0,45,58,84,0,0,1.000698,45.02
17,-9550.0,-3038.0,1950.0,720,301,526,273,73,0,131,2,0,0,0,1.750346,60.26
18,-9450.0,-3043.5,1300.0,717,184,645,183,0,0,120,0,70,0,0,1.938294,62.71
19,-8150.0,-3320.3,1050.0,629,263,487,43,0,0,0,0,44,0,0,1.859533,61.73
20,-7900.0,-4170.6,-950.0,513,277,460,79,0,0,0,0,0,0,0,1.809257,61.07
21,-8300.0,-3700.9,-50.0,432,123,765,78,0,0,0,0,0,0,0,1.588588,57.81
22,-6600.0,-3131.1,100.0,511,137,681,61,27,0,0,0,0,0,0,0.640019,32.62
23,-5900.0,-3172.6,350.0,656,99,652,57,0,0,14,0,0,0,0,2.555637,68.63
24,-5500.0,-3053.0,-50.0,804,65,580,22,0,0,0,0,0,0,0,1.313163,52.71
25,-5450.0,-2506.4,850.0,938,622,210,114,0,0,42,13,0,0,0,0.954620,43.67
